ProcessName,Description,AppType,Modules,Allocation,Status,Target Date
CreateBulkLaon,CreateBulkLaon,QFund,Login_DateChange_Safe_Drawer_Registration_LoanOrigination_PR,Ibbu,Complete,
brwrRegBanking_conv,Converted Customers Registration BankingTab,QFund,BorrowerRegistration_ConvertedCustomer_PR,Vivek,Complete,
brwrRegIncome_conv,Converted Customers Registration IncomeTab,QFund,BorrowerRegistration_ConvertedCustomer_PR,Vivek,Complete,
brwrRegOthers_Conv,Converted Customers Registration OthersTab,QFund,BorrowerRegistration_ConvertedCustomer_PR,Vivek,Complete,
brwrRegPersonalInfo_conv,Converted Customers Registration PersonalTab,QFund,BorrowerRegistration_ConvertedCustomer_PR,Vivek,Complete,
adminSafeDessign,Safe dessign from admin side,QFund,AdminTransaction_Drawer_Dessign_PR,Gowri,Complete,
Online,,,,,,
getCustomerInfo,Customer Details,QFund,AcccountCreationInOnlineAppalication_PR,Gowri,Complete,
createOnlineAccount,Account creation in online,QFund,AcccountCreationInOnlineAppalication_PR,Gowri,Complete,
PersonalInformation,Online Customer Registration,QFund,OnlineCustomerRegistration_PR,Gowri,Complete,
NewCustomerPasswordCreation,Online new customer password and security question,QFund,OnlineCustomerRegistration_PR,Gowri,Complete,
EmploymentInfo,online customer Employment Information,QFund,OnlineCustomerRegistration_PR,Gowri,Complete,
BankinfInfo,online customer Banking Details,QFund,OnlineCustomerRegistration_PR,Gowri,Complete,
SignUpAndSubmit_Appalication,online customer Submit Application,QFund,OnlineCustomerRegistration_PR,Gowri,Complete,
PartialPayment_Online,Make Payment to the Loan through online,QFund,Online_PayDayLoanPayment_PR,Gowri,Complete,
OnlineLogin,online User Login,QFund,AcccountCreationInOnlineAppalication_PR,Gowri,Complete,
Installment,,,,,,
InstallmentLoan,Originating Installment Loan,QFund,LoanTransactions_InstallmentLoan_PR,Chandu,Complete,
InstallmetLoanPayments,Make Payments to the Loan,QFund,LoanTransactions_InstallmentLoan_PR,Chandu,Complete,
InstallmentLoan_Void,Make Void to Loan,QFund,LoanTransactions_InstallmentLoan_PR,Chandu,Complete,
InstallmentLoan_VoidPayments,Make Void to Payments,QFund,LoanTransactions_InstallmentLoan_PR,Chandu,Complete,
Installment_DefaultPayment,Payment While in Default,QFund,LoanTransactions_InstallmentLoan_PR,Chandu,Complete,
Installment_PaymentPlan,Payment Plan While in Default,QFund,LoanTransactions_InstallmentLoan_PR,Chandu,Complete,
Installment_VoidPP,Void Payment Plan While in Default,QFund,LoanTransactions_InstallmentLoan_PR,Chandu,Inprogress,
GetStoreNo,Getting admin store no,QFund,AdminSafeAndDrawerDessign_PR,Gowri,Complete,
payDayWriteOffRecovery,Writeoff recovery,QFund,PayDay_PartialPayment_PR,Gowri,Complete,
customerReports,bankruptcyReport,QFund,CustomerReports_PR,Gowri,Complete,
adminOnlineProcessDateChange,Online Date chage,QFund,AdminTransaction_QAJobs_ProcessDateChange_PR,Chandu,Complete,
PAM,,,,,,
loanOriginationPAM,Originate the new online loan,PAM,LoanOrigination_PR,Harishankar,Complete,
searchOnlineLoanbyPAM,Search By Applicant details,PAM,LoanOrigination_PR,Harishankar,Complete,
verificationActionPAM,Verify the online loan process,PAM,LoanOrigination_PR,Harishankar,Complete,
paydayACH_Revoke_Authorize,ACH Revoke Authorisation for Payday in CSR,QFund,LoanACHRevokeAuthorize_PR,Harishankar,Complete,
pamPaydayBuyBack,Pam Buy Back Payment,PAM,Pam_Payoff_PR,Akhila,Complete,
pamlocPayoff,Pam payoff payment,PAM,Pam_Payoff_PR,Akhila,Complete,
